route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
57-VIC,4462,11333831:10000117:10050800,Langford Exch via McCallum,40271,10050800,1
27-VIC,4444,11028329:10000118:11183867,Downtown,36309,11183867,1
27-VIC,4439,11028329:10000118:11184357,Downtown,36309,11184357,1
27-VIC,4459,11323966:10000119:10795667,Gordon Head via Shelbourne,26178,10795667,0
95-VIC,4445,11035508:10000120:10051768,Blink - to Langford,18836,10051768,1
31-VIC,4430,11319125:10000121:10049555,Downtown,18859,10049555,1
39-VIC,4439,11028591:10000123:11184517,UVic via Royal Oak,40421,11184517,0
39-VIC,4444,11028591:10000123:11184645,UVic via Royal Oak,40421,11184645,0
31-VIC,4450,11084763:10000125:10048847,Downtown,18859,10048847,1
31-VIC,4455,11084763:10000125:10049516,Downtown,18859,10049516,1
72-VIC,4450,11087545:10000129:10049741,Swartz Bay Ferry via Saanichton,18512,10049741,0
72-VIC,4455,11087545:10000129:10051514,Swartz Bay Ferry via Saanichton,18512,10051514,0
6-VIC,4446,11039370:10000132:10052861,Royal Oak Exch via Royal Oak Ctr,18715,10052861,0
8-VIC,4446,11039004:10000133:10051760,Tillicum Ctr via Finlayson,26916,10051760,1
14-VIC,4457,11322084:10000135:11183895,UVic via Richmond,26515,11183895,0
6-VIC,4461,11261278:10000137:10049115,Royal Oak Exch via Royal Oak Ctr,18715,10049115,0
14-VIC,4430,11318062:10000139:10050141,Vic General via Craigflower,40195,10050141,1
5-VIC,4446,11039156:10000140:10052774,Willows,23383,10052774,0
59-VIC,4459,11325391:10000141:10050212,Langford Exch via Triangle Mtn,19545,10050212,0
14-VIC,3240,11314264:10000146:10051120,UVic via Richmond,26515,10051120,0
53-VIC,4455,11086008:10000148:10052016,Langford Exch via Atkins,40100,10052016,1
53-VIC,4450,11086008:10000148:10052656,Langford Exch via Atkins,40100,10052656,1
95-VIC,4430,11316808:10000150:10049128,Blink - to Langford,18836,10049128,1
4-VIC,4445,11036282:10000154:11184274,UVic via Hillside,18645,11184274,0
15-VIC,4445,11036583:10000157:10052647,Esquimalt - Fort/Yates Express,23403,10052647,1
21-VIC,3240,11314639:10000166:11184626,Interurban to Camosun only,23380,11184626,0
4-VIC,4457,11321729:10000168:11184028,Downtown via Hillside,26927,11184028,1
27-VIC,4444,11028010:10000171:10051319,Downtown,36309,10051319,1
27-VIC,4439,11028010:10000171:10051982,Downtown,36309,10051982,1
15-VIC,4457,11322029:10000173:11184302,Esquimalt - Fort/Yates Express,23403,11184302,1
30-VIC,4460,11328978:10000174:10052209,Royal Oak Exch via Carey,18634,10052209,0
49-VIC,4459,11325434:10000175:10051883,Skirt Mountain via Florence Lake,40397,10051883,0
59-VIC,4446,11041139:10000177:10052650,Royal Bay Exch via Triangle Mtn,18872,10052650,1
70-VIC,4457,11315933:10000181:10052091,Downtown via Hwy 17,18849,10052091,1
12-VIC,4462,11333706:10000182:11183953,University Hgts via Kenmore,18817,11183953,1
5-VIC,4457,11321364:10000183:11183794,James Bay - Fisherman's Wharf,36285,11183794,1
4-VIC,4446,11039590:10000184:10052202,UVic via Hillside,18645,10052202,0
6A-VIC,4430,11319598:10000185:10049707,Royal Oak Exch via Emily Carr,21583,10049707,0
14-VIC,4439,11046096:10000187:10049747,to Downtown only,40008,10049747,1
14-VIC,4444,11046096:10000187:10050934,to Downtown only,40008,10050934,1
22-VIC,4461,11262403:10000192:11183916,Hillside Ctr via Hastings,19096,11183916,1
14-VIC,4462,11333070:10000196:10052054,UVic via Richmond,26515,10052054,0
95-VIC,4457,11320991:10000199:10052020,Blink - to Downtown,18717,10052020,0
26-VIC,4445,11036824:10000201:10051638,Dockyard via McKenzie/Tillicum,40061,10051638,1
6-VIC,4430,11319551:10000202:10050135,Downtown,18962,10050135,1
75-VIC,4439,11032654:10000205:10050493,Saanichton Exch via Keating Industrial,18912,10050493,0
75-VIC,4444,11032654:10000205:10050933,Saanichton Exch via Keating Industrial,18912,10050933,0
6-VIC,4459,11324175:10000206:10050739,Downtown,18962,10050739,1
4-VIC,4461,11261439:10000208:11184504,Downtown via Hillside,26927,11184504,1
25-VIC,4457,11321426:10000209:10050275,Tillicum Ctr via Munro,26113,10050275,1
6-VIC,4461,11261198:10000210:10050007,Downtown,18962,10050007,1
85-VIC,4455,11085529:10000211:10049151,North Saanich,19285,10049151,0
85-VIC,4450,11085529:10000211:10051196,North Saanich,19285,10051196,0
21-VIC,3240,11314888:10000215:11184626,Downtown - to 7 UVic,23385,11184626,1
15-VIC,4462,11333033:10000216:10052054,Esquimalt - Fort/Yates Express,23403,10052054,1
31-VIC,4450,11084842:10000218:10049868,Downtown,18859,10049868,1
31-VIC,4455,11084842:10000218:10051812,Downtown,18859,10051812,1
85-VIC,4457,11322377:10000220:10052343,North Saanich,19285,10052343,0
8-VIC,4457,11321308:10000222:10051144,Oak Bay via Finlayson,26943,10051144,0
39-VIC,4457,11322564:10000225:11184320,UVic via Royal Oak,19305,11184320,0
21-VIC,4462,11333455:10000227:11184700,Downtown - to 7 UVic,23385,11184700,1
72-VIC,4450,11087469:10000236:10049895,Downtown via Saanichton,18716,10049895,1
72-VIC,4455,11087469:10000236:10051094,Downtown via Saanichton,18716,10051094,1
95-VIC,4462,11332213:10000239:10051937,Blink - to Langford,18836,10051937,1
6-VIC,4445,11036204:10000243:10050843,Downtown,18962,10050843,1
2-VIC,4462,11332468:10000249:10796018,South Oak Bay,23427,10796018,0
6-VIC,4445,11036116:10000250:10050347,Downtown,18962,10050347,1
2-VIC,4460,11328730:10000251:10050262,to Downtown only,18991,10050262,0
31-VIC,4461,11261553:10000252:10796309,Royal Oak Exch via Glanford,18743,10796309,0
15-VIC,3240,11314243:10000253:11183918,Esquimalt - Fort/Yates Express,23403,11183918,1
32-VIC,4461,11262450:10000254:10049121,Royal Oak Exch,18626,10049121,1
39-VIC,4462,11333461:10000255:11184170,UVic via Royal Oak,19305,11184170,0
60-VIC,4439,11033139:10000257:10048924,Langford Exch via Lagoon,19362,10048924,0
60-VIC,4444,11033139:10000257:10049197,Langford Exch via Lagoon,19362,10049197,0
53-VIC,4461,11262563:10000259:10050962,Vic General via Atkins,39974,10050962,0
75-VIC,4462,11332795:10000261:10052431,Downtown - Keating Industrial,18820,10052431,1
59-VIC,4461,11262701:10000263:10050523,Langford Exch via Triangle Mtn,19545,10050523,0
24-VIC,3240,11313761:10000266:10049169,Tillicum Ctr via Colville,21694,10049169,1
5-VIC,4461,11261026:10000267:10049710,Willows,23383,10049710,0
55-VIC,4460,11330081:10000269:10050696,William Head via Happy Valley,26324,10050696,1
75-VIC,4455,11084853:10000273:10049470,Downtown - Keating Industrial,18820,10049470,1
75-VIC,4450,11084853:10000273:10052027,Downtown - Keating Industrial,18820,10052027,1
32-VIC,4457,11322485:10000275:11184352,Cordova Bay,18608,11184352,0
5-VIC,4446,11039201:10000276:10051217,Willows,23383,10051217,0
6-VIC,4461,11261303:10000277:10051233,Downtown,18962,10051233,1
58-VIC,4444,11033168:10000279:10049733,Langford Exch via Westhills,18751,10049733,0
58-VIC,4439,11033168:10000279:10052713,Langford Exch via Westhills,18751,10052713,0
72-VIC,4462,11331828:10000281:10796251,Swartz Bay Ferry via Saanichton,18512,10796251,0
